codbar,neighborhood,district,priority_score,priority_z_score,spatial_lag_z_score,spatial_quadrant,knn_neighbors
115,NATZARET,POBLATS MARÍTIMS,0.5508607131597754,0.8732314283399005,0.9375973919355991,high-high,5
121,AIORA,CAMINS AL GRAU,0.4962722654903471,0.38954044017179457,0.31471687266375004,high-high,5
122,ALBORS,CAMINS AL GRAU,0.4634893590105972,0.09906146326010484,0.11697277576384332,high-high,5
123,LA CREU DEL GRAU,CAMINS AL GRAU,0.54064452332169,0.7827089978795103,0.008540193380421196,high-high,5
124,CAMI FONDO,CAMINS AL GRAU,0.5461319010477824,0.8313309182326651,-0.19954764367973318,high-low,5
125,PENYA-ROJA,CAMINS AL GRAU,0.3398918404128234,-0.996097099733141,0.24451895777962773,low-high,5
131,L'ILLA PERDUDA,ALGIRÓS,0.4205811348056973,-0.28113475502931756,0.227305336712985,low-high,5
132,CIUTAT JARDI,ALGIRÓS,0.4682921795855877,0.14161773897578717,0.17680063705090138,high-high,5
133,L'AMISTAT,ALGIRÓS,0.5082111136106812,0.4953268014159044,-0.09429681964206593,high-low,5
134,LA VEGA BAIXA,ALGIRÓS,0.4217765906254384,-0.27054219870195195,-0.30270195075470563,low-low,5
135,LA CARRASCA,ALGIRÓS,0.37550797453150536,-0.6805137878405588,0.19060295943531405,low-high,5
141,BENIMACLET,BENIMACLET,0.2761898898872005,-1.5605399573971503,-0.27205436394199,low-low,5
142,CAMI DE VERA,BENIMACLET,0.5829136961143101,1.157242783506116,-0.7477556219482183,high-low,5
151,ELS ORRIOLS,RASCANYA,0.5346774600291447,0.7298367352734929,-0.2546797584912569,high-low,5
152,TORREFIEL,RASCANYA,0.3367749485809769,-1.0237148935068088,0.14582230617344252,low-high,5
153,SANT LLORENS,RASCANYA,0.43514450249124964,-0.15209335510643077,-0.19602952284871095,low-low,5
161,BENICALAP,BENICALAP,0.3544688453198933,-0.8669348646989197,0.5330585477483738,low-high,5
162,CIUTAT FALLERA,BENICALAP,0.596053340924879,1.2736690248436469,-0.0054594217217650565,high-low,5
