codbar,neighborhood,district,grid_point,lat,lon,nearest_bike_parking_m,is_underserved
141,BENIMACLET,BENIMACLET,6,39.48751730859522,-0.3680854009197469,37.4,False
141,BENIMACLET,BENIMACLET,7,39.48751730859522,-0.36110185825809443,6.8,False
141,BENIMACLET,BENIMACLET,8,39.48751730859522,-0.3576100869272682,36.3,False
53,TRINITAT,LA SAÏDIA,0,39.47781708790928,-0.3691073604256628,178.0,False
53,TRINITAT,LA SAÏDIA,1,39.48051202143425,-0.37259898959907223,49.8,False
53,TRINITAT,LA SAÏDIA,2,39.48051202143425,-0.3691073604256628,45.4,False
53,TRINITAT,LA SAÏDIA,3,39.48320695495922,-0.3691073604256628,42.4,False
53,TRINITAT,LA SAÏDIA,4,39.48320695495922,-0.36561573125225333,117.0,False
53,TRINITAT,LA SAÏDIA,5,39.48590188848419,-0.3691073604256628,79.2,False
134,LA VEGA BAIXA,ALGIRÓS,0,39.47531527384863,-0.3521476389082609,32.7,False
134,LA VEGA BAIXA,ALGIRÓS,1,39.47531527384863,-0.3486562836282107,63.9,False
134,LA VEGA BAIXA,ALGIRÓS,2,39.4780102073736,-0.3486562836282107,38.5,False
124,CAMI FONDO,CAMINS AL GRAU,0,39.46339766004575,-0.35187902367954443,86.8,False
124,CAMI FONDO,CAMINS AL GRAU,1,39.46609259357072,-0.3553698044209035,79.7,False
85,FAVARA,PATRAIX,0,39.45391618420966,-0.396839291179478,60.2,False
85,FAVARA,PATRAIX,1,39.45391618420966,-0.39334906683149806,124.4,False
83,VARA DE QUART,PATRAIX,0,39.453657086135735,-0.40911675602756536,346.8,True
83,VARA DE QUART,PATRAIX,1,39.456352019660706,-0.40911675602756536,260.7,True
83,VARA DE QUART,PATRAIX,2,39.456352019660706,-0.40562624204452363,77.6,False
83,VARA DE QUART,PATRAIX,3,39.45904695318568,-0.4126072700106071,213.9,False
83,VARA DE QUART,PATRAIX,4,39.45904695318568,-0.40911675602756536,59.8,False
83,VARA DE QUART,PATRAIX,5,39.45904695318568,-0.40562624204452363,141.3,False
83,VARA DE QUART,PATRAIX,6,39.45904695318568,-0.4021357280614819,53.9,False
83,VARA DE QUART,PATRAIX,7,39.46174188671065,-0.4126072700106071,90.3,False
83,VARA DE QUART,PATRAIX,8,39.46174188671065,-0.40911675602756536,155.1,False
83,VARA DE QUART,PATRAIX,9,39.46174188671065,-0.40562624204452363,156.8,False
83,VARA DE QUART,PATRAIX,10,39.46174188671065,-0.4021357280614819,5.8,False
83,VARA DE QUART,PATRAIX,11,39.46174188671065,-0.39864521407844017,40.2,False
131,L'ILLA PERDUDA,ALGIRÓS,0,39.46729915065971,-0.33847502707380483,60.8,False
131,L'ILLA PERDUDA,ALGIRÓS,1,39.469994084184684,-0.34196600962548496,54.6,False
102,EN CORTS,QUATRE CARRERES,0,39.454931050507064,-0.3740235473730954,70.7,False
102,EN CORTS,QUATRE CARRERES,1,39.454931050507064,-0.37053322093408225,112.4,False
102,EN CORTS,QUATRE CARRERES,2,39.457625984032035,-0.3740235473730954,13.9,False
102,EN CORTS,QUATRE CARRERES,3,39.457625984032035,-0.37053322093408225,70.0,False
11,LA SEU,CIUTAT VELLA,0,39.47755284001671,-0.3740318295314533,23.5,False
112,CABANYAL-CANYAMELAR,POBLATS MARÍTIMS,0,39.464165047392626,-0.33474995188061474,9.5,False
112,CABANYAL-CANYAMELAR,POBLATS MARÍTIMS,1,39.464165047392626,-0.3312589739763023,38.3,False
112,CABANYAL-CANYAMELAR,POBLATS MARÍTIMS,2,39.464165047392626,-0.3277679960719898,79.6,False
112,CABANYAL-CANYAMELAR,POBLATS MARÍTIMS,3,39.464165047392626,-0.32427701816767734,49.2,False
112,CABANYAL-CANYAMELAR,POBLATS MARÍTIMS,4,39.4668599809176,-0.33474995188061474,87.5,False
