objectid,parking_type,spaces,x_utm,y_utm,lat,lon
1458534,A - Horquilla,10,724745.5039999997,4374352.737,39.48943461014257,-0.3866131327669905
1458535,A - Horquilla,4,726132.3169999998,4371296.879000001,39.46156503098614,-0.37153892206986083
1458536,A - Horquilla,10,729064.9139999999,4373618.611,39.481687485427194,-0.3366888114085058
1458537,A - Horquilla,10,727008.3739999998,4371303.752,39.46139637426806,-0.3613637932627503
1458538,A - Horquilla,10,730001.3150000004,4373789.734999999,39.48297793723241,-0.3257534535534921
1458539,A - Horquilla,6,721495.1299999999,4375637.399,39.5018415649875,-0.42394600275097427
1458540,A - Horquilla,4,724669.1490000002,4369435.801999999,39.44519599271502,-0.3891557385608467
1458541,A - Horquilla,8,727611.5190000003,4372862.071,39.475263580730896,-0.35382852545556753
1458542,A - Horquilla,6,724235.6880000001,4371330.762,39.46236604607339,-0.39355163042143576
1458543,A - Horquilla,2,726761.744,4373046.507999999,39.477148032380335,-0.36363532702962437
1458544,A - Horquilla,6,728923.5599999996,4371404.245999999,39.461793862911094,-0.3390905365906223
1458545,A - Horquilla,12,730086.6239999998,4373798.302999999,39.48303224682106,-0.32475961490329913
1458546,A - Horquilla,4,728873.2070000004,4372012.544,39.467282479007935,-0.33946660392320605
1458547,A - Horquilla,10,724353.2680000002,4374825.313999999,39.49379077808759,-0.3910106030615401
1458548,A - Horquilla,4,726256.9819999998,4373884.736,39.48482585879855,-0.3692135262616782
1458549,A - Horquilla,4,724774.9210000001,4372204.026000001,39.47008590528991,-0.3869956889815206
1458550,A - Horquilla,10,724584.9340000004,4368979.034,39.44110644360071,-0.3902869932503268
1458551,A - Horquilla,6,725663.2340000002,4374035.595000001,39.48633970533319,-0.3760594221240087
1458552,A - Horquilla,4,723519.4859999996,4371985.5879999995,39.46844659013481,-0.4016491686774823
1458553,A - Horquilla,10,727026.4859999996,4373828.765000001,39.48411934898092,-0.3602941249953063
1458554,A - Horquilla,6,723415.2769999998,4372752.523,39.475377090334774,-0.40260254531811007
1458555,A - Horquilla,4,725188.7209999999,4373305.744999999,39.47989453572503,-0.3818180129135233
1458556,A - Horquilla,4,725258.9309999999,4373295.074999999,39.479780116197475,-0.381006112436343
1458557,A - Horquilla,6,726079.1540000001,4373606.035,39.482363990820595,-0.37137367427733015
1458558,A - Horquilla,4,726034.1210000003,4373615.736,39.48246314222168,-0.3718934684131353
1458559,A - Horquilla,4,724411.6830000002,4371722.603,39.465847262794306,-0.3913761383124824
1458560,A - Horquilla,4,726016.3310000002,4371357.526000001,39.46214137691516,-0.3728652251040851
1458561,A - Horquilla,6,725692.0259999996,4372734.449999999,39.47462036278679,-0.3761653620496701
1458562,A - Horquilla,4,728834.0829999996,4371429.300000001,39.462043156189836,-0.34012093804587606
1458563,A - Horquilla,4,724792.5980000002,4372429.239,39.47210848386368,-0.3867145063821373
1458564,A - Horquilla,4,724648.7309999997,4372403.301000001,39.47191257138454,-0.38839411134791585
1458565,A - Horquilla,6,724753.3329999996,4372103.717,39.46918863700455,-0.38728019637556416
1458566,A - Horquilla,4,727199.8329999996,4373625.356000001,39.48224270330064,-0.3583498912170116
1458567,A - Horquilla,10,727120.2740000002,4371828.943,39.4660941365656,-0.35988568082604283
1458568,A - Horquilla,4,726054.1660000002,4373878.134,39.48481974791103,-0.3715716649420011
1458569,A - Horquilla,4,724611.6660000002,4372734.634,39.47490465386242,-0.3887130133021536
1458570,A - Horquilla,4,723122.4579999996,4375077.1850000005,39.49637814253931,-0.405225466161861
1458571,A - Horquilla,4,726208.2520000003,4371235.582,39.460993342599885,-0.3706779332745025
1458572,B - Estuctura,5,725273.6040000003,4373206.6280000005,39.47898014774477,-0.3808655618983559
1458573,A - Horquilla,10,727801.5039999997,4371037.794,39.45879301914084,-0.35224481087056164
1458574,A - Horquilla,10,725761.7120000003,4371898.336999999,39.46707610491652,-0.37563895654390145
1458575,A - Horquilla,6,726630.9220000003,4372024.512,39.467983430347644,-0.36550198726986743
1458576,A - Horquilla,6,723513.3540000003,4372321.345000001,39.47147044592101,-0.4016078950882961
1458577,A - Horquilla,8,725497.5369999995,4372379.038000001,39.4714722190911,-0.3785443658294799
1458578,A - Horquilla,10,725657.3870000001,4374339.169,39.48907374830364,-0.3760245712286479
1458579,A - Horquilla,2,728506.9160000002,4371889.634,39.46627347999505,-0.34376234557781465
1458580,A - Horquilla,2,728502.9160000002,4371891.050000001,39.466287287010886,-0.3438083111224462
1458581,A - Horquilla,2,728738.4160000002,4371806.134,39.46546042654809,-0.34110265311418825
1458582,A - Horquilla,2,728749.1660000002,4371828.967,39.46566308811134,-0.340969992307481
1458583,A - Horquilla,2,728765.8329999996,4371823.356000001,39.465608155387734,-0.3407783706728522
1458584,A - Horquilla,2,728770.3880000003,4371821.744999999,39.465592444551554,-0.34072602816683806
1458585,A - Horquilla,2,728785.7769999998,4371816.023,39.46553685195891,-0.3405492857123896
1458586,A - Horquilla,4,728850.4160000002,4371794.550000001,39.46532639575759,-0.3398060325103881
1458587,A - Horquilla,4,728861.9989999998,4371790.634,39.465288069194266,-0.3396728689549966
1458588,A - Horquilla,2,728912.7489999998,4371773.300000001,39.465118555284086,-0.3390894856576681
1458589,A - Horquilla,8,725850.676,4371915.032,39.46720304388682,-0.37460016368817906
1458590,A - Horquilla,6,725858.4390000002,4371922.514,39.46726835381861,-0.3745074789648308
1458591,A - Horquilla,6,725892.8569999998,4371954.407,39.467546396748375,-0.3740969833930655
1458592,A - Horquilla,4,725936.2390000001,4372017.177999999,39.468100022781165,-0.3735719283610608
1458593,A - Horquilla,4,725974.2300000004,4372031.801999999,39.46822168347226,-0.37312577882692477
1458594,A - Horquilla,4,726028.0369999995,4372083.702,39.46867471603551,-0.37248332515780724
1458595,A - Horquilla,4,726047.9859999996,4372102.617000001,39.46883973416691,-0.3722452434764168
1458596,A - Horquilla,6,727119.0219999999,4374379.475,39.48905187211505,-0.35903162052703436
1458597,A - Horquilla,2,727393.5300000003,4372494.528000001,39.47201294693529,-0.3564855922478317
1458598,A - Horquilla,4,726290.6600000001,4371389.358999999,39.46235585523099,-0.36966887595134323
1458599,A - Horquilla,4,725838.9699999997,4371591.827,39.46429689645762,-0.37484549125128275
1458600,A - Horquilla,6,725706.2489999998,4374171.467,39.48755142214089,-0.37551374343561933
1458601,A - Horquilla,4,728985.7769999998,4371703.523,39.4644710797821,-0.33826540060927496
1458602,A - Horquilla,2,728967.6660000002,4371702.9120000005,39.46447039695655,-0.338475919857016
1458603,B - Estuctura,5,723962.0659999996,4371706.968,39.46582361200222,-0.3966027954394784
1458604,A - Horquilla,12,730285.8109999998,4371741.18,39.46446327881028,-0.3231562075278676
1458605,A - Horquilla,10,725141.7139999997,4372753.137,39.4749327052057,-0.3825505657336946
1458606,A - Horquilla,10,724316.5829999996,4374592.958000001,39.49170885630311,-0.39151500962314123
1458607,A - Horquilla,10,725000.5190000003,4374804.255000001,39.493432137643495,-0.3834982247504996
1458608,A - Horquilla,10,729781.8770000003,4371599.397,39.463321757360845,-0.3290567831197692
1458609,B - Estuctura,6,725355.3059999999,4372333.59,39.47110038352622,-0.3802115622265946
1458610,A - Horquilla,10,729241.182,4371237.882999999,39.460211945944344,-0.3354595124469467
1458611,A - Horquilla,10,729090.2180000003,4372853.517999999,39.474794255329215,-0.3366577281716718
1458612,A - Horquilla,10,723796.216,4372896.7469999995,39.47657631862117,-0.3981296808726565
1458613,A - Horquilla,8,722849.6359999999,4372159.054,39.47018169910482,-0.40937056986606557
1458614,A - Horquilla,10,730149.6469999999,4372282.51,39.46937208511005,-0.32455064852399984
1458615,A - Horquilla,4,726718.0710000005,4373547.057,39.48166500913304,-0.36397239177744767
1458616,A - Horquilla,6,727608.7589999996,4370580.661,39.45472932158725,-0.35463871509131983
1458617,A - Horquilla,4,725689.216,4372557.276000001,39.473026329330885,-0.3762579451949982
1458618,A - Horquilla,10,724190.0729999999,4372745.625,39.47511351376009,-0.393605908869039
1458619,A - Horquilla,10,724648.4469999997,4369170.231000001,39.44281090827847,-0.38948538846008346
1458620,A - Horquilla,4,725988.1500000004,4371031.879000001,39.45921757571356,-0.37330272494883987
1458621,A - Horquilla,10,725903.9800000004,4375127.729,39.4961069323221,-0.37289266530941956
1458622,A - Horquilla,10,729397.5520000001,4372133.302999999,39.46822985026924,-0.3333360282136014
1458623,A - Horquilla,10,728064.6699999999,4370811.777000001,39.4566889864396,-0.3492662938105297
1458624,A - Horquilla,6,724359.5099999998,4374412.491,39.490073234349296,-0.39107706788827146
1458625,A - Horquilla,2,726057.4289999995,4371955.846000001,39.46751614916178,-0.37218530611554934
1458626,A - Horquilla,16,724788.8080000002,4371717.02,39.465698621207444,-0.3869984837837526
1458627,A - Horquilla,10,723732.125,4374847.538000001,39.49415263020077,-0.39821937785001565
1458628,A - Horquilla,16,730143.6160000004,4372388.016000001,39.47032333419535,-0.32458429138349876
1458629,A - Horquilla,6,728241.6449999996,4372585.481000001,39.47260713062449,-0.3466047899726817
1458630,A - Horquilla,6,727086.8470000001,4370437.248,39.45357622256472,-0.36074732435300016
1458631,A - Horquilla,10,724081.1900000004,4371828.9,39.466890160560546,-0.39517845948847213
1458632,A - Horquilla,10,724840.0449999999,4373635.877,39.48295730211734,-0.385756650931265
1458633,A - Horquilla,8,728247.1430000002,4372871.223999999,39.47517762751476,-0.3464431613695746
1458634,A - Horquilla,6,725989.6509999996,4370709.301999999,39.45631361544867,-0.3733944977166746
1458635,A - Horquilla,22,726662.1399999997,4373328.879000001,39.4797159117734,-0.3646962146387954
1458636,A - Horquilla,10,724537.9950000001,4373669.282,39.48333686876434,-0.38925395254049683
1458637,A - Horquilla,8,725574.375,4372257.903999999,39.47036173793432,-0.37769294423093264
1458638,A - Horquilla,4,727364.7790000001,4372184.995999999,39.46923443901173,-0.3569249877715387
1458639,A - Horquilla,8,723458.1529999999,4371848.6280000005,39.46722968864669,-0.40240732946308494
1458640,A - Horquilla,10,724226.6260000002,4375466.698999999,39.49959706106765,-0.3922660298306026
1458641,A - Horquilla,10,726613.307,4372361.691,39.47102304393799,-0.3655920251218193
1458642,A - Horquilla,4,726012.0109999999,4371837.200999999,39.46646013444671,-0.3727529365276234
1458643,A - Horquilla,10,726197.8720000004,4374050.297,39.48633163133159,-0.3698439675265393
1458644,A - Horquilla,10,728474.432,4371185.186000001,39.45994140886082,-0.3443807304093859
1458645,A - Horquilla,8,724119.176,4372899.1219999995,39.47651364901999,-0.3943777655753026
1458646,A - Horquilla,10,723986.0279999999,4371276.3100000005,39.461940890226714,-0.39646906723244935
1458647,A - Horquilla,12,727347.4160000002,4373936.335999999,39.48500284972888,-0.3565296127465061
1458648,A - Horquilla,14,725941.9110000003,4373919.401000001,39.48522068478448,-0.3728616285807171
1458649,A - Horquilla,10,724194.659,4371260.572000001,39.46174492922066,-0.39405165456968017
1458650,A - Horquilla,6,723792.96,4371202.938999999,39.461330656555454,-0.3987356508798413
1458651,A - Horquilla,10,728507.0470000003,4371779.034,39.465277942344,-0.34379869756433273
1458652,A - Horquilla,10,728422.0669999998,4370583.491,39.45453947286367,-0.3451946470418493
1458653,A - Horquilla,8,723812.7039999999,4373829.82,39.484970898296815,-0.39762498402348784
1458654,A - Horquilla,10,728698.4479999999,4371203.558,39.460047306606185,-0.34177326393915763
